Show,Show.Number,YoN,Title,Artist,Year,JD,Hunter,Steve,Dave,YACHTSKI
BRC01,1,YACHT,Rosanna,Toto,1982,95,89,100,99,95.75
BRC01,1,YACHT,Beautiful People,Marc Jordan,1979,85,74,85,82,81.5
BRC01,1,YACHT,Waiting For Your Love,Toto,1982,86,82,79,68,78.75
BRC01,1,YACHT,Good For You,Toto,1982,47,61,64,55,56.75
BRC01,1,NYACHT,I Won't Hold You Back,Toto,1982,35,51,41,62,47.25
BRC01,1,NYACHT,We Made It,Toto,1982,46,47,45,38,44
BRC01,1,NYACHT,Lovers In The Night,Toto,1982,41,35,43,49,42
BRC01,1,NYACHT,It's A Feeling,Toto,1982,35,51,37,42,41.25
BRC01,1,NYACHT,Find It In Your Heart,Michael McDonald,2017,18,34,47,27,31.5
BRC01,1,NYACHT,Afraid Of Love,Toto,1982,37,31,28,30,31.5
BRC01,1,NYACHT,Brown-Eyed Girl,Van Morrison,1967,4,12,15,8,9.75
BYR02,2,NYACHT,Cannonball Run Theme,Chuck Mangione,1982,32,39,33,38,35.5
BYR04,4,YACHT,Nobody's Business,Maxus,1981,98,91,95,94,94.5
BYR05,5,NYACHT,I'll Wait,Van Halen,1984,33,45,50,30,39.5
BYR06,6,YACHT,Livin' It Up,Bill LaBounty,1982,87,88,92,84,87.75
BYR07,7,YACHT,Georgy Porgy,Toto,1978,59,78,77,72,71.5
BYR09,9,YACHT,Shame,Terence Boylan,1977,75,75,65,75,72.5
BYR10,10,YACHT,No Looking Back,Michael McDonald,1985,60,61,60,67,62
BYR10,10,YACHT,Rikki Don't Lose That Number,Steely Dan,1974,50,53,60,58,55.25
BYR10,10,YACHT,Love Will Keep Us Together,Captain & Tenille,1975,59,45,51,52,51.75
BYR10,10,NYACHT,I'd Really Love to See You Tonight,England Dan & John Ford Coley,1976,50,50,37,39,44
BYR10,10,NYACHT,Rich Girl,Hall & Oates,1977,38,46,28,36,37
BYR10,10,NYACHT,Escape (The Pina Colada Song),Rupert Holmes,1979,40,43,30,28,35.25
BYR10,10,NYACHT,Dream Weaver,Gary Wright,1975,40,40,24,25,32.25
BYR10,10,NYACHT,Southern Cross,"Crosby, Stills & Nash",1982,33,39,25,28,31.25
BYR10,10,NYACHT,Baker Street,Gerry Rafferty,1978,30,38,21,28,29.25
BYR10,10,NYACHT,Summer Breeze,Seals & Crofts,1972,12,41,15,19,21.75
BYR10,10,NYACHT,More Than This,Roxy Music,1982,15,20,20,17,18
BYR10,10,NYACHT,Afternoon Delight,Starland Vocal Band,1976,5,14,5,12,9
BYR10,10,NYACHT,Come Sail Away,Styx,1977,8,8,1,12,7.25
BYR11,11,YACHT,Living Inside Myself,Gino Vannelli,1981,55,59,62,51,56.75
BYR12,12,YACHT,I'll Be Over You,Toto,1986,50,53,56,68,56.75
BYR14,14,NYACHT,Down in Cancun,Victor Feldman,1982,47,52,52,48,49.75
BYR15,15,YACHT,Fool's Paradise,Randy Goodrum,1982,89,88,82,82,85.25
BYR16,16,YACHT,Runaway,Bill Champlin,1981,90,92,94,89,91.25
BYR18,18,YACHT,Mornin',Al Jarreau,1983,94,91,97,89,92.75
BYR19,19,YACHT,Woman,Dane Donohue,1978,82,83,79,82,81.5
BYR23,23,YACHT,Look What You've Done to Me,Boz Scaggs,1980,51,50,53,58,53
BYR24,24,YACHT,I Didn't Wanna Hurt Cha for Another Guy,"Chunky, Novi & Ernie",1977,62,65,60,63,62.5
BYR28,28,YACHT,Margarita,Marc Jordan,1983,91,90,84,78,85.75
BYR30,30,YACHT,Any World (That I'm Welcome To),Steely Dan,1975,60,54,64,59,59.25
BYR33,33,NYACHT,Hold On To Love,Jon Anderson,1988,53,46,48,49,49
BYR34,34,YACHT,One Hundred Ways,Quincy Jones,1981,64,76,75,70,71.25
BYR37,37,YACHT,Scene 29,JaR,2008,48,52,52,48,50
BYR38,38,YACHT,Tell Me What You Dream,Timothy B. Schmitt,1984,77,69,59,82,71.75
BYR40,40,YACHT,Something Special,QJones w/Patti Austin,1981,93,92,91,94,92.5
BYR40,40,YACHT,In the Way,Brothers Johnson,1981,86,91,90,89,89
BYR40,40,YACHT,After the Love Has Gone,"Earth, Wind & Fire",1979,87,81,100,85,88.25
BYR40,40,YACHT,A Women Needs Love (Just Like You Do),Ray Parker Jr.,1981,82,83,81,85,82.75
BYR40,40,YACHT,Jarreau,Brenda Russell,1983,90,74,84,67,78.75
BYR40,40,YACHT,Seeing Is Believing,Paulinho Da Costa,1979,74,73,68,64,69.75
BYR41,41,YACHT,I'm Happy That Love Has Found You,Jimmy Hall,1980,78,82,80,84,81
BYR42,42,YACHT,"Who's Right, Who's Wrong",Kenny Loggins,1979,95,98,96.5,95,96.125
BYR43,43,YACHT,Easy Lover,Phillip Bailey & Phil Collins,1984,55,35,41,70,50.25
BYR44,44,YACHT,Africa,Toto,1982,90,91,97,94,93
BYR45,45,YACHT,Through the Fire,Chaka Khan,1984,87,81,76,82,81.5
BYR46,46,YACHT,Steal Away,Jim Photoglo,1980,55,70,77,60,65.5
BYR47,47,YACHT,Breakin' Away,Al Jarreau,1981,80,84,78,83,81.25
BYR48,48,YACHT,Hello People,Brenda Russell,1983,88,88,78,82,84
BYR49,49,YACHT,Come Rain or Shine,Franke & The Knockouts,1984,58,65,63,58,61
BYR49,49,NYACHT,Key Largo,Bertie Higgins,1982,40,31,43,45,39.75
BYR50,50,YACHT,The Sailor's Song,Pages,1979,55,56,66,55,58
BYR51,51,YACHT,Love You Like I Never Loved You Before,John O'Bannion,1981,77,79,85,85,81.5
BYR52,52,NYACHT,Breezin',George Benson & Al Jarreau,2006,45,51,38,42,44
BYR53,53,YACHT,Lucky,Brenda Russell,1981,87,72,66,78,75.75
BYR54,54,YACHT,Paradise,Herbie Hancock,1982,81,84,72,75,78
BYR55,55,YACHT,I Gotta Try,Michael McDonald,1982,95,85,81,92,88.25
BYR55,55,YACHT,I Gotta Try,Kenny Loggins,1982,85,89,79,80,83.25
BYR56,56,YACHT,Don't Talk,Larry Lee,1982,90,88,88,89,88.75
BYR57,57,YACHT,Fool In Love With You,Jim Photoglo,1981,85,90,89,89,88.25
BYR58,58,YACHT,Do You Love Me,Patti Austin,1981,85,73,87,82,81.75
BYR59,59,YACHT,Boys of Autumn,David Roberts,1982,90,83,89.5,89,87.875
BYR60,60,YACHT,Keep On Running,Byrne & Barnes,1981,87,88,81,78,83.5
BYR60,60,YACHT,Caught Up in the Middle,England Dan & John Ford Coley,1979,81,78,80,78,79.25
BYR60,60,YACHT,If And Any Day,Seals & Crofts,1980,88,74,79,76,79.25
BYR60,60,YACHT,Fly,Steve Cropper,1981,81,82,68,81,78
BYR60,60,YACHT,Same Old Fool,Dolly Parton,1980,84,81,64,71,75
BYR60,60,YACHT,Heart To Heart,Kenny Rogers,1984,72,69,67,72,70
BYR60,60,YACHT,You,Max Gronenthal,1979,65,71,65,57,64.5
BYR60,60,YACHT,Red Steamliner,Little Feat,1977,57,61,57,58,58.25
BYR60,60,YACHT,The Fool In Me,Dave Loggins,1979,55,59,54,61,57.25
BYR60,60,YACHT,Cryin' Shame,Gregg Allman Band,1977,51,61,52,58,55.5
BYR60,60,YACHT,Nail Me to the Wall,Sanford-Townsend Band,1979,55,53,52,62,55.5
BYR60,60,YACHT,Carry Me Away,Doobie Brothers,1976,51,52,53,55,52.75
BYR61,61,YACHT,Biggest Part of Me,Ambrosia,1980,62,72,91,65,72.5
BYR62,62,YACHT,Can't Hide Love,Jaye P. Morgan,1976,55,54,59,62,57.5
BYR63,63,YACHT,Paradise (Let Me Take You Into),Pablo Cruise,1981,82,74,69,71,74
BYR64,64,YACHT,Come Back,Benny Hester,1981,68,77,68,73,71.5
BYR65,65,YACHT,Sunset Drivers,Lee Ritenour,1984,65,66,67,62,65
BYR66,66,YACHT,Jagged Edge,Alessi,1982,86,90,88,87,87.75
BYR67,67,NYACHT,You Make Me Feel Like Dancing,Lee Ritenour,1979,42,50,40,51,45.75
BYR68,68,YACHT,Two Eyes,Brenda Russell,1983,66,63,67,59,63.75
BYR69,69,YACHT,Cool Fool,Bruce Roberts,1980,62,76,63,58,64.75
BYR70,70,YACHT,Brooklyn Girls,Robbie Dupree,1981,89,92,84,88,88.25
BYR70,70,YACHT,Not Tonight,The Brecker Brothers,1980,86,84,86,86,85.5
BYR70,70,YACHT,Bi-Coastal,Peter Allen,1982,87,91,81,78,84.25
BYR70,70,YACHT,I Won't Let Go,Brooklyn Dreams,1980,62,87,72,81,75.5
BYR70,70,YACHT,New York Bars,Brenda Russell,1983,79,80,76,66,75.25
BYR70,70,YACHT,Just Another Notch on the Bedpost,Robert Kraft,1982,85,69,67,76,74.25
BYR70,70,YACHT,Lucky One (New York Boy),Carrera,1983,57,71,77,68,68.25
BYR70,70,YACHT,"Ask Me to Say ""I Do"" (And I Will)",David Pomeranz,1980,75,68,66,63,68
BYR70,70,YACHT,Looking for the Perfect Ahh,Melissa Manchester,1982,82,65,61,59,66.75
BYR70,70,YACHT,On the Boulevard,The Manhattan Transfer,1981,66,66,79,55,66.5
BYR70,70,YACHT,Love is Like a Light,Frank Stallone,1984,52,70,63,61,61.5
BYR70,70,YACHT,Jealousy,Michael Franks,1982,61,63,59,56,59.75
BYR70,70,YACHT,Arthur's Theme (Best You Can Do),Christopher Cross,1981,50,56,62,57,56.25
BYR71,71,YACHT,We're In This Love Together,Al Jarreau,1981,85,76,87,75,80.75
BYR72,72,YACHT,Josie,Steely Dan,1977,82,100,87,78,86.75
BYR73,73,YACHT,Sail On A Rainbow,Art Garfunkel,1979,67,49,62,55,58.25
BYR74,74,YACHT,Lie To Me,Sean Cassidy,1978,62,61,68,55,61.5
BYR75,75,YACHT,Thicke of the Night,Alan Thicke,1983,67,69,63,74,68.25
BYR76,76,YACHT,Where Do The Nights Go,Ronnie Milsap,1987,66,54,65,57,60.5
BYR77,77,YACHT,Rockmaker,Toto,1978,56,70,71,72,67.25
BYR78,78,YACHT,Complicated Times,Frank Weber,1978,52,50,56,51,52.25
BYR79,79,YACHT,Every Home Should Have One,Patti Austin,1981,80,81,78,82,80.25
BYR80,80,YACHT,Heaven Bound,Rufus & Chaka,1979,51,52,53,50,51.5
BYR81,81,YACHT,When I Can't Have You,Anne Murray,1983,57,56,64,52,57.25
BYR82,82,YACHT,Somebody Took My Love,Kenny Rogers,1984,75,72,61,64,68
BYR83,83,YACHT,Sinbad,Grimaldi/Zeiher,1978,53,52,54,50,52.25
BYR84,84,YACHT,Give It Up,The Jacksons,1980,83,87,78,85,83.25
BYR85,85,YACHT,Christmas Time Is Here,Ray Parker Jr.,1982,85,100,82,87,88.5
BYR85,85,YACHT,We Got to Get Back,Jimmy Messina,1983,59,59,63,61,60.5
BYR86,86,YACHT,Lay Back,Michael Sambello,1983,59,72,67,53,62.75
BYR89,89,YACHT,You're Good For Me,Exile,1980,82,86,81,87,84
BYR92,92,,Jamie,Debbie Boone,1979,,,,,0
YON01,93,YACHT,Sailing,Christopher Cross,1979,90,100,98,90,94.5
YON01,93,YACHT,Ain't Nothin' For a Heartache,Kerry Chater,1978,85,95,94,90,91
YON01,93,NYACHT,You Are the Woman,Firefall,1976,30,39,15,30,28.5
YON01,93,NYACHT,Lady,Little River Band,1978,20,34,30,18,25.5
YON01,93,NYACHT,Maneater,Hall & Oates,1982,35,29,8,25,24.25
YON02,94,YACHT,Peg,Steely Dan,1977,100,86,92,90,92
YON02,94,YACHT,Lovin' and Losin' You,Dwayne Ford,1981,90,96,89,84,89.75
YON02,94,YACHT,Just Can't Win 'Em All,Stevie Woods,1981,90,100,77,90,89.25
YON02,94,NYACHT,Stumblin' In,Suzy Quatro and Chris Norman,1978,55,59,26,30,42.5
YON02,94,NYACHT,"Nice, Nice, Very Nice",Ambrosia,1975,5,20,65,15,26.25
YON02,94,NYACHT,Stuck With You,Huey Lewis & the News,1986,10,5,8.3,15,9.575
YON03,95,YACHT,Oriental Gate,Sanford-Townsend Band,1977,90,88,87,85,87.5
YON03,95,YACHT,Alibis,Segio Mendes and Joe Pizzulo,1984,82,79.5,84,85,82.625
YON03,95,YACHT,Get It Up For Love,Ned Doheny,1976,76,81,72,60,72.25
YON03,95,YACHT,Lovely Day,Bill Withers,1977,75,48,44,70,59.25
YON03,95,NYACHT,Islands in the Stream,Kenny Rogers and Dolly Parton,1983,40,46,43,30,39.75
YON03,95,NYACHT,Maniac,Michael Sembello,1983,20,17,10,5,13
YON03,95,NYACHT,Take the Long Way Home,Supertramp,1979,15,22,5,10,13
YON03,95,NYACHT,All I Wanted,Kansas,1986,9,3,0.8,3,3.95
YON04,96,YACHT,Nothin' You Can Do About It,Airplay,1980,92,100,100,95,96.75
YON04,96,YACHT,Steal Away,Robbie Dupree,1980,89,81,85,85,85
YON04,96,YACHT,Marina Del Rey,Marc Jordan,1978,88,79,83,70,80
YON04,96,YACHT,Catalina Breeze,The Blue Jean Committee,2015,65,20,75,75,58.75
YON04,96,NYACHT,Don't Turn Me Away,10CC,1981,55,68,41,35,49.75
YON04,96,NYACHT,Miracles,Jefferson Starship,1975,42,46,38,35,40.25
YON04,96,NYACHT,Arrow Through Me,Paul McCartney & Wings,1979,50,35,26,10,30.25
YON04,96,NYACHT,In Thee,Blue Oyster Cult,1979,7,23,13,15,14.5
YON05,97,YACHT,Shine,Average White Band,1980,80,86,90,85,85.25
YON05,97,YACHT,Breezin',George Benson,1976,90,64,79,77,77.5
YON05,97,YACHT,Guilty,Barbra Streisand and Barry Gibb,1980,65,60,64,52,60.25
YON05,97,YACHT,Heartlight,Neil Diamond,1982,60,62,38,45,51.25
YON05,97,YACHT,You Can Feel It,Young Gun Silver Fox,2016,55,51,46,48,50
YON05,97,NYACHT,Feels So Good,Chuck Mangione,1977,37,43,40,58,44.5
YON05,97,NYACHT,Splish Splash,Barbra Streisand,1979,49,33,29,25,34
YON05,97,NYACHT,Big Log,Robert Plant,1983,25,30,22,20,24.25
YON05,97,NYACHT,Midnight at the Oasis,Maria Mulder,1973,17,30,16,20,20.75
YON05,97,NYACHT,Nobody Does it Better,Carly Simon,1977,29,12,14,15,17.5
YON05,97,NYACHT,In the Mood,Robert Plant,1983,5,10,8,15,9.5
YON06,98,YACHT,What a Fool Believes,Doobie Brothers,1978,100,100,100,100,100
YON06,98,YACHT,This is It,Kenny Loggins,1979,97,99,99,98,98.25
YON06,98,YACHT,Love Trip,Takako Mamiya,1982,61,64,70,64,64.75
YON06,98,YACHT,Baby Come Back,Player,1977,65,59,62,48,58.5
YON06,98,YACHT,Cool Night,Paul Davis,1981,48,61,53,54,54
YON06,98,YACHT,Reminiscing,Little River Band,1978,48,61,58,40,51.75
YON06,98,NYACHT,Maureen,Sade,1985,51,52,48,48,49.75
YON06,98,NYACHT,On and On,Stephen Bishop,1976,49,52,39,40,45
YON06,98,NYACHT,Sail on Sailor,The Beach Boys,1973,40,45,41,48,43.5
YON06,98,NYACHT,Walk Away Blues,M83,2016,8.5,15,27,10,15.125
YON07,99,YACHT,O.C.O.E. (Official Cat of the Eighties),Pages,1981,89,78,86,80,83.25
YON07,99,YACHT,What You Won't Do For Love,Bobby Caldwell,1978,75,84,70,65,73.5
YON07,99,YACHT,Now That Your Joystick's Broke,Michael Franks,1983,60,71,60,55,61.5
YON07,99,YACHT,Sonny Think Twice,Chicago,1982,75,45,62,60,60.5
YON07,99,NYACHT,Thunder Island,Jay Ferguson,1977,55,35,30,60,45
YON07,99,NYACHT,I'm Never Gonna Give You Up,Frank Stallone w/ Cynthia Rhodes,1983,40,50,46,32,42
YON07,99,NYACHT,Year of the Cat,Al Stewart,1976,29,23,24,41,29.25
YON07,99,NYACHT,The Secret Garden,Quincy Jones,1989,28,12,8,30,19.5
YON07,99,NYACHT,Everywhere,Fleetwood Mac,1987,5,33,18,15,17.75
YON07,99,NYACHT,Little Lies,Fleetwood Mac,1987,12,23,18,15,17
YON07,99,NYACHT,Love is Cold,Jay Ferguson,1977,15,8,15,15,13.25
YON08,100,YACHT,Baby Come to Me,Patti Austin & James Ingram,1981,90,91,92,91,91
YON08,100,YACHT,People Who Talk to Themselves,Alan O'Day,1979,80,55,53,72,65
YON08,100,YACHT,How Long,Ace,1974,55,51,48,58,53
YON08,100,NYACHT,Ian Matthews,Gimme an Inch Girl,1978,55,58,40,42,48.75
YON08,100,NYACHT,Your Smiling Face,James Taylor,1977,55,52,38,37,45.5
YON08,100,NYACHT,We Were Meant to Be Lovers,Jim Photoglo,1980,30,43,73,25,42.75
YON08,100,NYACHT,Hold Me,Fleetwood Mac,1982,45,31,34,20,32.5
YON08,100,NYACHT,You Ga (Ta Give It),The Brecker Brothers,1980,25,34,22,20,25.25
YON08,100,NYACHT,Sad Songs,Olivia Newton John,1977,15,18,17,13,15.75
YON09,101,YACHT,Beside You,Alan Sorrenti,1981,82,84,83,79,82
YON09,101,YACHT,Sweetheart,Franke & The Knockouts,1981,59,72,74,55,65
YON09,101,YACHT,Keep The Fire,Kenny Loggins,1979,65,49,60,42,54
YON09,101,NYACHT,On My Own,Patti LaBelle and Michael McDonald,1986,45,51,54,35,46.25
YON09,101,NYACHT,We Know the Way by Heart,Koinonia,1989,42,43,59,30,43.5
YON09,101,NYACHT,Sail On,Commodores,1979,45,49,31,35,40
YON09,101,NYACHT,Magnet and Steel,Walter Egan,1978,42,34,38,35,37.25
YON09,101,NYACHT,Her Town Too,James Taylor,1981,31,29,17,28,26.25
YON09,101,NYACHT,Kiss You All Over,Exile,1978,12,38,12,25,21.75
YON09,101,NYACHT,Minnesota,Lil' Yachty,2016,6,16,6,9,9.25
YON10,102,YACHT,Love You Out of Your Mind,Byrne & Barnes,1981,81,86,83,75,81.25
YON10,102,YACHT,Yah Mo B There,James Ingram w/Michael McDonald,1983,71,90,77,75,78.25
YON10,102,YACHT,Change of Heart,Eric Carmen,1978,74,72,67,70,70.75
YON10,102,YACHT,Moody Girl,Frank Stallone,1983,59,56,70,65,62.5
YON10,102,YACHT,Spice of Life,Manhattan Transfer,1984,73,39,62,55,57.25
YON10,102,YACHT,To Prove My Love,Ned Doheny,1979,55,43,42,60,50
YON10,102,NYACHT,The Weekend,Steve Wariner,1987,42,52,41,57,48
YON10,102,NYACHT,Sweet Reunion,Kenny Loggins,1991,52,49,39,45,46.25
YON10,102,NYACHT,Slow and Easy,Jesse Colin Young,1978,35,50,36,25,36.5
YON10,102,NYACHT,Right Down the Line,Gerry Rafferty,1978,23,41,37,28,32.25
YON11,103,YACHT,Goin Down,Greg Guidry,1982,76,86,69,74,76.25
YON11,103,YACHT,Back in Business,Ted Gardestad,1978,72,60,68,68,67
YON11,103,YACHT,Follow You Home,Heat,1981,64,79,54,65,65.5
YON11,103,YACHT,Sweet Baby,Stanley Clarke and George Duke,1981,62,68,48,67,61.25
YON11,103,YACHT,One Way Ticket to Paradise,Dave Loggins,1977,63,58,61,51,58.25
YON11,103,NYACHT,Undercover Angel,Alan O'Day,1977,53,51,23,45,43
YON11,103,NYACHT,Mr. Telephone Man,New Edition,1984,49,43,38,35,41.25
YON11,103,NYACHT,Morning Dance,Spyro Gyra,1980,22,33,12,25,23
YON11,103,NYACHT,Back Pocket,Volfpeck,2015,35,25,15,15,22.5
YON12,104,YACHT,I Keep Forgettin',Michael McDonald,1982,99,100,98,97,98.5
YON12,104,YACHT,Tomorrow's Girls,Donald Fagen,1993,59,66,75,55,63.75
YON12,104,YACHT,Regulate,Warren G,1994,58.187,60,33.3,55,51.62175
YON12,104,NYACHT,You Can Do Magic,America,1980,45,48,35,25,38.25
YON12,104,NYACHT,Maybe I'm a Fool,Eddie Money,1979,40,41,22,35,34.5
YON12,104,NYACHT,Crazy Love Games,Gary,1978,37,51,12,35,33.75
YON12,104,NYACHT,I Can Dream About You,Dan Hartman,1984,38,26,30,25,29.75
YON12,104,NYACHT,I Love You,Climax Blues Band,1981,14,24,19,20,19.25
YON12,104,NYACHT,I Can See Clearly,Johnny Nash,1972,9,22,5,12,12
YON12,104,NYACHT,Fool in the Rain,Led Zeppelin,1979,5,1,0,3,2.25
YON13,105,YACHT,One Step Closer,Doobie Brothers,1980,88,73,64,75,75
YON13,105,YACHT,99*,Toto,1979,69,80,70,75,73.5
YON13,105,YACHT,Love Will Conquer All,Lionel Richie,1985,58,61,56,65,60
YON13,105,YACHT,Missing You,Dan Fogelberg,1982,62,49,47,48,51.5
YON13,105,NYACHT,Run For Your Life,Runner,1979,45,38,34,40,39.25
YON13,105,NYACHT,So Wrong,Patrick Simmons,1983,18,38,21,25,25.5
YON13,105,NYACHT,Jackie Blue,Ozark Mountain Dare Devils,1974,9,38,16,12,18.75
YON13,105,NYACHT,Runaway,Jefferson Starship,1978,18,6,4,5,8.25
YON13,105,NYACHT,What Am I Gonna Do,Rod Stewart,1983,11,6,5,9,7.75
YON14,106,YACHT,No One There,Eric Tagg,1982,83,90,88,80,85.25
YON14,106,YACHT,The Ending,Steve Kipner,1979,84,79,85,84,83
YON14,106,YACHT,One Step Over the Borderline,Peter Allen,1980,82,84,83,80,82.25
YON14,106,YACHT,Me and My Love,Larry Wilcox,1980,70,64,39,50,55.75
YON14,106,YACHT,Stars,Seals & Crofts,1980,59,51,56,45,52.75
YON14,106,NYACHT,I Believe,Chilliwack,1981,41,46,53,40,45
YON14,106,NYACHT,Skippin',Rhythm Heritage,1978,42,50,40,46,44.5
YON14,106,NYACHT,Misunderstanding,Genesis,1980,49,42,43,40,43.5
YON14,106,NYACHT,Arc of a Diver,Steve Winwood,1980,37,30,35,28,32.5
YON14,106,NYACHT,Seabird,Alessi,1976,38,22,20,32,28
YON14,106,NYACHT,Sailin' On,Bad Brains,1982,2,2,0.9,5,2.475
YON15,107,YACHT,Show You the Way,Thundercat,2017,72,62,65,65,66
YON15,107,YACHT,Anything You Want,David Sanborn,1980,65,57,67,65,63.5
YON15,107,YACHT,Got You Where I Want You,Dionne Warwick w/Johnny Mathis,1982,65,69,62,54,62.5
YON15,107,NYACHT,Ginny's Song,Jimmy Thunderpucker,1978,51,42,56,45,48.5
YON15,107,NYACHT,Yearning For Your Love,Gap Band,1980,46,46,42,40,43.5
YON15,107,NYACHT,Every Kind of People,Robert Palmer,1978,49,41,38,38,41.5
YON15,107,NYACHT,Interlude,Rosie Vela,1986,37,49,34,35,38.75
YON15,107,NYACHT,Messin With The Boys,Cherie & Marie Currie,1979,39,33,19,30,30.25
YON15,107,NYACHT,Summer Days,Phoenix,2000,5,6,22,10,10.75
YON16,108,YACHT,Sweet Freedom,Michael McDonald,1986,64,78,92,74,77
YON16,108,YACHT,Change,Attitudes,1977,80,76,72,69,74.25
YON16,108,YACHT,Cross My Heart,Lee Ritenour,1982,85,81,63,65,73.5
YON16,108,YACHT,Love is a Mystery,Robbie Dupree,1980,60,78,77,70,71.25
YON16,108,YACHT,Closet Man,Dusty Springfield,1978,83,74,61,65,70.75
YON16,108,YACHT,Fraulein,Bobby Caldwell,1983,78,69,69,60,69
YON16,108,YACHT,Moonlighting,Al Jarreau,1987,58,56,67,55,59
YON16,108,NYACHT,Talk to Me,Olivia Newton John,1978,60,52,47,40,49.75
YON16,108,NYACHT,Hurting For You,Todd Rundgren,1978,42,32,39,42,38.75
YON16,108,NYACHT,Hubbard's Cupboard,Freddie Hubbard,1982,31,28,25,29,28.25
YON16,108,NYACHT,Some Children,Holy Ghost!,2011,30,41,22,20,28.25
YON17,109,YACHT,Whenever I Call You Friend,Kenny Loggins w/Stevie Nicks,1978,65,62,82,78,71.75
YON17,109,YACHT,It's the Falling in Love,Michael Jackson,1979,83,59,68,75,71.25
YON17,109,YACHT,No More Lonely Days,Sneaker,1981,58,72,85,58,68.25
YON17,109,YACHT,Rock with You,Michael Jackson,1979,70,51,62,73,64
YON17,109,YACHT,Don't Talk To Strangers,Rick Springfield,1982,61,53,56,57,56.75
YON17,109,NYACHT,Smooth Operator,Sade,1984,51,38,26.5,35,37.625
YON17,109,NYACHT,Steppin Out,Joe Jackson,1982,41,41,20,40,35.5
YON17,109,NYACHT,My Ever Changing Moods,The Style Council,1984,42,39,23,30,33.5
YON17,109,NYACHT,I'll Be That Friend,Jodie Abacus,2015,20,31,34,25,27.5
YON18,110,YACHT,New Frontier,Donald Fagen,1982,58,60,70,48,59
YON18,110,YACHT,Save it for a Rainy Day,Stephen Bishop,1976,61,57,58,60,59
YON18,110,YACHT,First Light,Makato Matushita,1981,46,53,59,45,50.75
YON18,110,NYACHT,Rise,Herb Alpert,1979,38,50,42,45,43.75
YON18,110,NYACHT,Ladies Man,Joni Mitchell,1982,45,45,36,38,41
YON18,110,NYACHT,Your Party,Ween,2007,27,36,32,35,32.5
YON18,110,NYACHT,That's Love,Jim Capaldi,1983,33,29,35,30,31.75
YON18,110,NYACHT,The Captain's Journey,Lee Ritenour,1978,29,33,21,35,29.5
YON18,110,NYACHT,Piece of Paradise,PM,1988,7,18,8,15,12
YON19,111,YACHT,All Right,Christopher Cross,1982,98,88,94,94,93.5
YON19,111,YACHT,You're the Only Woman,Ambrosia,1980,62,81,73,60,69
YON19,111,YACHT,One Last Look,Robert Palmer,1976,69,61,63,51,61
YON19,111,YACHT,New and Different Way,Jimmy Messina,1979,72,56,53,45,56.5
YON19,111,YACHT,I'll Be Dining Here Again,Norwegian Fords,2011,49,54,65,42,52.5
YON19,111,NYACHT,Lido Shuffle,Boz Scaggs,1976,65,45,40,40,47.5
YON19,111,NYACHT,Little Jeannie,Elton John,1980,49,51,36,35,42.75
YON19,111,NYACHT,Arbuckle's Swan Song,Ambulance LTD,2006,25,39,31,25,30
YON19,111,NYACHT,Yachting Type,The Yachts,1978,10,2,0,10,5.5
YON20,112,YACHT,Second Chance,Paul Anka,1986,87,85,80,85,84.25
YON20,112,YACHT,You Can't Change That,Raydio,1979,84,78,74,78,78.5
YON20,112,YACHT,Smoke From a Distant Fire,Sanford-Townsend Band,1977,75,76,84,72,76.75
