Show,Show.Number,YoN,Title,Artist,Year,JD,Hunter,Steve,Dave,YACHTSKI
YON20,112,YACHT,Je Reviens,Gilles Rivard,1981,55,59,65,55,58.5
YON20,112,YACHT,Sinking in an Ocean of Tears,Stephen Bishop,1976,56,49,41,55,50.25
YON20,112,NYACHT,Just To See Her,Smokey Robinson,1987,46,50,36,42,43.5
YON20,112,NYACHT,Love Ain't Somethin',Wah Wah Watson,1976,42,41,40,45,42
YON20,112,NYACHT,Brandy (You're a Fine Girl),Looking Glass,1972,32,40,33.3,42,36.825
YON20,112,NYACHT,Eye Know,De La Soul,1989,28,26,10,16,20
YON20,112,NYACHT,Summertime,Brother Love,2005,10,6,3,4,5.75
YON20,112,NYACHT,Tequila Sunrise,Eagles,1973,7,11,0,0,4.5
YON21,113,YACHT,Do You Believe In Love,Paul Davis,1980,59,51,56,52,54.5
YON21,113,NYACHT,We Don't Talk Anymore,Cliff Richard,1979,49,49,49,43,47.5
YON21,113,NYACHT,No Love In the Morning,Captain & Tenille,1979,39,23,38,27,31.75
YON21,113,NYACHT,Winning,Santana,1981,33,31,23,20,26.75
YON21,113,NYACHT,Follow the Leader,Foxygen,2017,25,25,30,22,25.5
YON21,113,NYACHT,In All My Wildest Dreams,Joe Sample,1978,20,30,20,27,24.25
YON21,113,NYACHT,Do You Believe In Love,Huey Lewis & the News,1982,25,29,13,27,23.5
YON21,113,NYACHT,The Captain of Her Heart,Double,1985,28,18,22,22,22.5
YON21,113,NYACHT,Fall Break,Peter Yellen,1985,32,16,12,22,20.5
YON21,113,NYACHT,But Not For You,Field Music,2016,3,4,9,5,5.25
YON22,114,YACHT,Heart to Heart,Kenny Loggins,1982,99,100,100,99.5,99.625
YON22,114,YACHT,If You Should Sail,Neilsen/Pearson,1980,92,90,95,88,91.25
YON22,114,YACHT,He's So Shy,Pointer Sisters,1980,85,92,88,86,87.75
YON22,114,YACHT,Boogie Down,Al Jarreau,1983,82,82,78,82,81
YON22,114,YACHT,"Promises, Promises",Lee Ritenour,1982,71,86,75,75,76.75
YON22,114,YACHT,Never Too Much,Luther Vandross,1981,46,53,58,62,54.75
YON22,114,NYACHT,All I Need,Jack Wagner,1984,22,28,12,25,21.75
YON22,114,NYACHT,Hotel California,Eagles,1976,15,6.66,0,7,7.165
YON22,114,NYACHT,Margaritaville,Jimmy Buffett,1977,5,3,2,1,2.75
YON23,115,YACHT,Can't Say Goodbye,Bobby Caldwell,1978,77,83,78,72,77.5
YON23,115,YACHT,Lotta Love,Nicolette Larson,1978,65,54,63,58,60
YON23,115,YACHT,Hold the Line,Toto,1978,61,50,60,55,56.5
YON23,115,YACHT,How Long,Ace,1974,57,57,55,53,55.5
YON23,115,NYACHT,Sometimes Love Forget,Steve Goodman,1980,42,42,36,42,40.5
YON23,115,NYACHT,From the Inside,Alice Cooper,1978,33,50,32,32.5,36.875
YON23,115,NYACHT,She's A Beauty,The Tubes,1983,40,50,38,10,34.5
YON23,115,NYACHT,It's No Secret,Ringo Starr,1977,33,33,41,23,32.5
YON23,115,NYACHT,The Lottery,The Stepkids,2011,30,41,39,18,32
YON23,115,NYACHT,Careless Whisper,Wham!,1984,12,30,20,15,19.25
YON23,115,NYACHT,Straight Up and Down,Bruno Mars,2016,5,4,3,6,4.5
YON24,116,YACHT,Show Me The Light,Bobby Martin,1983,92,85,85,88,87.5
YON24,116,YACHT,Coming Down From Love,Bobby Caldwell,1980,82,85,80,78,81.25
YON24,116,YACHT,Jojo,Boz Scaggs,1980,72,71,74,68,71.25
YON24,116,NYACHT,Somebody's Baby,Jackson Browne,1982,60,51,40,48,49.75
YON24,116,NYACHT,Snowbound,Donald Fagen,1993,45,57,39,45,46.5
YON24,116,NYACHT,Just This One Night,Deodato,1982,52,46,37,42,44.25
YON24,116,NYACHT,Oh Loretta,Sex On Toast,2015,33,50,52,42,44.25
YON24,116,NYACHT,Shake You Down,Gregory Abbott,1986,20,34,12,28,23.5
YON24,116,NYACHT,Mandolin Rain,Bruce Hornsby,1986,12,14,15,21,15.5
YON24,116,NYACHT,On The Run,Lake,1976,17,15,10,12,13.5
YON25,117,YACHT,Runnin' Around,China,1981,88,65,72,72,74.25
YON25,117,YACHT,IGY,Donald Fagen,1982,60,63,76,61,65
YON25,117,YACHT,Never Turnin' Back,Bruce Hibbard,1980,53,71,68,58,62.5
YON25,117,YACHT,Give Me The Love,Elton John,1980,55,63,59,61,59.5
YON25,117,NYACHT,Private Eyes,Hall & Oates,1981,62,47,23,48,45
YON25,117,NYACHT,Diary of A Fool,Alan Gorrie,1985,35,51,49,42,44.25
YON25,117,NYACHT,Hard to Fall,Sea Level,1977,35,33,44,45,39.25
YON25,117,NYACHT,With A Little Luck,Wings,1978,17,29,21,27,23.5
YON25,117,NYACHT,Let Nothing Come Between You,Warren Zevon,1982,21,20,13,15,17.25
YON26,118,YACHT,I Don't Want You Anymore,Tavares,1980,89,82,83,85,84.75
YON26,118,YACHT,In A Little While (I'll Be On My Way),Art Garfunkel,1979,65,61,71,72,67.25
YON26,118,YACHT,Simple,Johnny Mathis,1984,65,68,73,57,65.75
YON26,118,YACHT,Hey Papa,Terence Boylan,1977,60,66,62,58,61.5
YON26,118,YACHT,So Good So Right,Joe Cocker,1982,59,54,43,44,50
YON26,118,YACHT,Juke Box Fury,Rickie Lee Jones,1984,51,50,51,48,50
YON26,118,NYACHT,Hard For Me to Say I'm Sorry,Chicago,1982,25,39,29,38,32.75
YON26,118,NYACHT,Step by Step,Eddie Rabbitt,1981,30,40,35,25,32.5
YON26,118,NYACHT,Ride Like the Wind,Freddie Hubbard,1982,28,30,25,21,26
YON26,118,NYACHT,Night Time in the Switching Yard,Warren Zevon,1978,27,23,22,28,25
YON26,118,NYACHT,Hold My Love,Sex on Toast,2014,12,29,18,20,19.75
YON27,119,YACHT,Dream On,Bill LaBounty,1982,91,90,93,86,90
YON27,119,YACHT,I Am the One,Ian Thomas,1981,78,69,61,72,70
YON27,119,YACHT,A Bigger Fool,Fred Knoblock,1980,67,73,59,68,66.75
YON27,119,YACHT,Without Us,Johnny Mathis & Deniece Williams,1978,75,60,55,52,60.5
YON27,119,NYACHT,Tin Foil Hat,Todd Rundgren/Donald Fagen,2017,49,51,41,42,45.75
YON27,119,NYACHT,Physical,Olivia Newton-John,1981,45,59,22,35,40.25
YON27,119,NYACHT,Lucky Radio,Samuel Purdey,2013,31,40,51,35,39.25
YON27,119,NYACHT,Float On By,Rhythm Heritage,1978,40,35,37,42,38.5
YON27,119,NYACHT,Don't Lose Your Love,Don Brown,1978,41,30,33,28,33
YON27,119,NYACHT,Break My Stride,Matthew Wilder,1983,25,33,3,25,21.5
YON27,119,NYACHT,When Loves Breaks Down,Prefab Sprout,1988,9,16,13,23,15.25
YON28,120,YACHT,You Need a Hero,Pages,1981,93,89,91,87,90
YON28,120,YACHT,Second Arrangement,Steely Dan,1980,78,75,70,78,75.25
YON28,120,YACHT,Nothin' You Can Do About It,Leslie Smith,1982,70,80,70,79,74.75
YON28,120,YACHT,So Into You,Atlantic Rhthym Section,1976,75,73,68,62,69.5
YON28,120,YACHT,Security Joan,Donald Fagen,2006,48,51,54,55,52
YON28,120,NYACHT,The Hurt,Kalapana,1975,40,49,47,48,46
YON28,120,NYACHT,Stay With Me Tonight,Richard Jon Smith,1983,49,49,40,42,45
YON28,120,NYACHT,I Can't Tell You Why,Eagles,1979,41,50,33,42,41.5
YON28,120,NYACHT,Reach,Orleans,1976,40,45,38,35,39.5
YON28,120,NYACHT,I Found You Love,Barbra Streisand,1977,25,27,27,20,24.75
YON28,120,NYACHT,Since I Fell For You,"Al Jarreau, Bob James & David Sanborn",1986,18,30,15,22,21.25
YON29,121,YACHT,Ride Like the Wind,Christopher Cross,1979,91,95,94,95,93.75
YON29,121,YACHT,Let's Get On With It,Barry Manilow,1982,72,90,77,62,75.25
YON29,121,YACHT,Just Gets Better With Time,Gary Taylor,1985,82,69,76,72,74.75
YON29,121,YACHT,Haunting Me,Dave Grusin,1983,64,76,73,67,70
YON29,121,YACHT,Where Did You Come From,Larry Carlton,1978,55,68,63,62,62
YON29,121,YACHT,Rock-A-Bye Baby,Billy Ocean,1982,62,49,58,65,58.5
YON29,121,YACHT,Falling For A Funny One,Eye To Eye,1983,47,54,44,55,50
YON29,121,NYACHT,Anything's Possible,Richard Torrance,1978,42,40,39,48,42.25
YON29,121,NYACHT,Someday My Prince May Come,Akiko Yano,1981,45,42,35,42,41
YON29,121,NYACHT,Hold On,Ian Thomas,1981,32,30,32,30,31
YON29,121,NYACHT,Tourist In Paradise,The Rippingtons,1989,12,18,23,20,18.25
YON30,122,YACHT,Step By Step,Benny Hester,1981,62,67,64,71,66
YON31,123,YACHT,Look Who's Lonely Now,Bill LaBounty,1982,90,83,89,82,86
YON31,123,YACHT,Givin' it All,Player,1980,75,62,63,65,66.25
YON31,123,YACHT,Foolish Heart,Steve Perry,1984,59,61,41,59,55
YON31,123,YACHT,Suspicions,Eddie Rabbitt,1979,60,53,53,51,54.25
YON31,123,YACHT,Survival,Marc Jordan,1978,62,47,44,49,50.5
YON31,123,NYACHT,Don't Want to Wait Anymore,The Tubes,1981,48,51,46,53,49.5
YON31,123,NYACHT,Personally,Karla Bonoff,1982,48,50,45,48,47.75
YON31,123,NYACHT,Magic Smile,Rosie Vela,1986,42,49,43,48,45.5
YON31,123,NYACHT,Gimme Your Love,John Denver,1985,28,13,16,17,18.5
YON31,123,NYACHT,Jamaican Rum,Phil Lynott,1980,25,12,16,15,17
YON31,123,NYACHT,Instant Replay,Dan Hartman,1978,10,8,8,15,10.25
YON32,124,YACHT,Make Believe,Toto,1982,92,91,93,92,92
YON32,124,YACHT,Minute By Minute,Doobie Brothers,1978,98,90,90,88,91.5
YON32,124,YACHT,Your Loss,Rick Bowles,1982,80,76,78,73,76.75
YON32,124,YACHT,Lazy Nina,Greg Phillinganes,1984,63,81,73,78,73.75
YON32,124,YACHT,Fire On The Water,Jesse Colin Young,1982,61,68,64,58,62.75
YON32,124,YACHT,Don't Let Me Fail,Bob Welch,1979,62,58,52,55,56.75
YON32,124,YACHT,You Made A Fool,Sherbet,1979,55,55,55,55,55
YON32,124,YACHT,Moonlight Feels Right,Starbuck,1976,53,51,56,48,52
YON32,124,NYACHT,Heaven Help The Fool,Bob Weir,1978,46,49,41,42,44.5
YON33,125,YACHT,Lowdown,Boz Scaggs,1976,87,96,94,79,89
YON33,125,YACHT,Mr. White,State Cows,2013,82,79,81,76,79.5
YON33,125,YACHT,Be Yourself,Debra Laws,1981,47,62,43,48,50
YON33,125,NYACHT,Love Now,Danny Douma,1979,50,46,47,43,46.5
YON33,125,NYACHT,Face To Face,Michael Franks,1987,35,45,37,40,39.25
YON33,125,NYACHT,She's So Divine,Jan Akkerman,1979,39,34,40,42,38.75
YON33,125,NYACHT,Couldn't Get It Right,Climax Blues Band,1976,35,40,36,38,37.25
YON33,125,NYACHT,I Feel For You,Prince,1979,25,34,23,28,27.5
YON33,125,NYACHT,Shandi,Kiss,1980,12,28,27,15,20.5
YON34,126,YACHT,Get Used To It,Roger Voudouris,1979,89.9,85.1,84,81,85
YON34,126,YACHT,All Night Long,Lionel Richie,1983,91,49,45,59,61
YON34,126,YACHT,Your Secrets Safe With Me,Michael Franks,1985,55,57,54,60,56.5
YON34,126,YACHT,Too Hot,Kool and the Gang,1979,58,52,51,58,54.75
YON34,126,YACHT,I Feel For You,Pointer Sisters,1982,50,53,46,52,50.25
YON34,126,NYACHT,Who's Holding Donna Now,DeBarge,1985,45,48,47,42,45.5
YON34,126,NYACHT,I'm The One For You,The Whispers,1979,44,43,46,41,43.5
YON34,126,NYACHT,Only A Fool Would Say That,Steely Dan,1972,40,48,39.5,38,41.375
YON34,126,NYACHT,WKRP Theme,Steve Carlisle,1978,38,26,34,30,32
YON35,127,YACHT,Can't Be Seen,Dane Donohoe,1978,88,86,83,83,85
YON35,127,YACHT,Huggin,Dara Sadaka,1982,81,81,63,76,75.25
YON35,127,YACHT,She Don't,David Pack,1985,56,67,81,54,64.5
YON35,127,YACHT,Valerie,Samuel Purdey,1999,51,61,58,62,58
YON35,127,NYACHT,Ocean Bay,Nightshift,2007,49,55,52,38,48.5
YON35,127,NYACHT,Say Goodbye,Hiroshi Satoh,1985,46,50,41,32,42.25
YON35,127,NYACHT,Adventures In The Land Of Music,Dynasty,1980,33,50,36,42,40.25
YON35,127,NYACHT,Of The Times,Carl Wilson,1983,39,38,33,35,36.25
YON35,127,NYACHT,Thank You For Being A Friend,Andrew Gold,1978,37,34,31,37,34.75
YON35,127,NYACHT,Lunch Hour,Rupert Holmes,1979,14,23,16.5,6,14.875
YON36,128,YACHT,Black Cow,Steely Dan,1977,90,90,91,92,90.75
YON36,128,YACHT,Baby Be Mine,Michael Jackson,1982,89,94,85,88,89
YON36,128,YACHT,So Much In Love,The Dukes (Bugatti & Musker),1982,85,89,79,82,83.75
YON36,128,YACHT,Don't Give Up On Us,Chris Christian w/ Chris Cross,1981,69,80,75,77,75.25
YON36,128,YACHT,You Should've Been There,Future Flight,1981,77,69,66,64,69
YON36,128,YACHT,Your Burning Love,Steps,1982,60,53,54,52,54.75
YON36,128,NYACHT,Make A Move On Me,Olivia Newton John,1981,42,56,46,48,48
YON36,128,NYACHT,I Sing,Akiko Yano,1981,45,50,36,39,42.5
YON36,128,NYACHT,Fool If You Think It's Over,Chris Rea,1978,42,42,34,42,40
YON36,128,NYACHT,I Go For You,Andy Gibb,1978,38,31,28,32,32.25
YON37,129,YACHT,Turn Your Love Around,George Benson,1981,90,98,93,96,94.25
YON37,129,YACHT,Don't Keep Me Waiting Girl,Tim Weisberg,1980,79,73,73,75,75
YON37,129,YACHT,What A Surprise,Pointer Sisters,1981,50,53,61,72,59
YON37,129,YACHT,She's Got To Be Somewhere,David Crosby,2017,59,61,62,53,58.75
YON37,129,YACHT,Stronger Than Before,Carol Bayer Sager,1981,60,58,53,49,55
YON37,129,YACHT,Miss Sun,Boz Scaggs,1980,56,51,54,54,53.75
YON37,129,NYACHT,You Should Hear How She Talks About You,Melissa Manchester,1982,37,51,36,42,41.5
YON37,129,NYACHT,Space Cowboy,Jamiroquai,1994,38,41,40,22,35.25
YON37,129,NYACHT,We Are One,Maze,1983,31,40,34,31,34
YON37,129,NYACHT,Spooky,Atlanta Rhythm Section,1979,19,31,22,22,23.5
YON37,129,NYACHT,When You're In Love With A Beautiful Woman,Dr. Hook,1978,20,24,23,18,21.25
YON37,129,NYACHT,Caravan,Kitaro & Pages,1984,9,15,29,14,16.75
YON38,130,YACHT,Love Will Find A Way,Pablo Cruise,1978,91,90,92,91,91
YON38,130,YACHT,Real Love,Doobie Brothers,1980,88,83,86,78,83.75
YON38,130,YACHT,Phantom of the Footlights,Full Moon,1982,76,79,78,83,79
YON38,130,YACHT,Live It,Richard Simmons,1982,79,91,67,77,78.5
YON38,130,NYACHT,Answering Machine,Rupert Holmes,1979,49,50,44,37,45
YON38,130,NYACHT,Shake It,Iain Matthews,1978,40,39,37,38,38.5
YON38,130,NYACHT,Mary Jane,Rick James,1978,38,40,34,32,36
YON38,130,NYACHT,St. Elmo's Fire,John Parr,1984,39,36,24,42,35.25
YON38,130,NYACHT,Bombs Away,Bob Weir,1978,40,34,40,20,33.5
YON38,130,NYACHT,Sara Smile,Hall & Oates,1975,22,38,30,38,32
YON38,130,NYACHT,Edgartown Groove,Kashif,1984,35,31,24,28,29.5
YON38,130,NYACHT,Tripping Out,Curtis Mayfield,1980,24,29,21,22,24
YON39,131,YACHT,Time Out Of Mind,Steely Dan,1980,92,88,93,84,89.25
YON39,131,YACHT,Hey Nineteen,Steely Dan,1980,79,96,95,72,85.5
YON39,131,YACHT,On The Wing,Crackin',1978,59,61,59,58,59.25
YON39,131,YACHT,Let It Go,Pages,1978,51,53,56,58,54.5
YON39,131,YACHT,Times Up,Hall & Oates,1979,55,54,60,48,54.25
YON39,131,NYACHT,I Can't Go For That (No Can Do),Hall & Oates,1981,38,48,55,30,42.75
YON39,131,NYACHT,Camelia,Hall & Oates,1975,38,30,34,25,31.75
YON39,131,NYACHT,You're Much Too Soon,Hall & Oates,1974,18,22,22,25,21.75
YON39,131,NYACHT,Shakedown Cruise,Jay Ferguson,1979,15,20,20,15,17.5
YON40,132,YACHT,Human Nature,Michael Jackson,1982,92,99,97,94,95.5
YON40,132,YACHT,New Love,Jeffery Osborne,1982,76,79,73,72,75
YON40,132,YACHT,Cool Cat,Queen,1982,61,49,53,56,54.75
YON40,132,YACHT,Deja Vu,Dionne Warwick,1979,50,48,53,54,51.25
YON40,132,NYACHT,Chinatown,Toto,2015,48,46,54,38,46.5
YON40,132,NYACHT,Easy Love,Dionne Warwick,1980,49,47,48,40,46
YON40,132,NYACHT,Games People Play,The Spinners,1975,33,41,37,42,38.25
YON40,132,NYACHT,When She Was My Girl,The Four Tops,1981,40,42,31,35,37
YON40,132,NYACHT,Boat To Sail,The Carpenters,1976,33,26,29,25,28.25
YON41,133,NYACHT,California 1,Con Funk Shun,1981,48,50,39,45,45.5
YON41,133,NYACHT,Take It Easy,Archie James Cavanaugh,1980,46,49,40,38,43.25
YON41,133,NYACHT,So You Win Again,Hot Chocolate,1977,44,36,36,43,39.75
YON41,133,NYACHT,Heart Hotels,Dan Fogelberg,1979,37,41,31,28,34.25
YON41,133,NYACHT,You've Realy Got A Hold On Me,Bobby McFerrin,1982,25,33,23,30,27.75
YON41,133,NYACHT,Going To LA,Peter Frampton,1981,18,28,17,29,23
YON41,133,NYACHT,Let's Get Serious,Jermaine Jackson,1980,17,25,14,12,17
YON41,133,NYACHT,Shambala,Three Dog Night,1973,2,1,3,5,2.75
YON42,134,YACHT,Mr. Briefcase,Lee Ritenour,1981,87,81,85,82,83.75
YON42,134,YACHT,(Want You) Back In My Life Again,The Carpenters,1981,65,60,61,58,61
YON42,134,YACHT,One Out Of Two,Breakbot,2012,62,48,58,65,58.25
YON42,134,NYACHT,The Golden Rule Jingle,Per-Erik Hallin,1982,52,49,42,42,46.25
YON42,134,NYACHT,Tahiti Hut,Deodato,1978,49,50,41,42,45.5
YON42,134,NYACHT,Alien,Atlanta Rhythm Section,1981,47,51,44,38,45
YON42,134,NYACHT,I Just Wanna Stop,Gino Vannelli,1978,42,52,51,32,44.25
YON42,134,NYACHT,Pandy Fackler,Ween,2000,28,49,49,32,39.5
YON42,134,NYACHT,I Love LA,Randy Newman,1983,41,34,33,41,37.25
YON43,135,YACHT,Please Don't Leave,Lauren Wood,,91,93,86,83,88.25
YON43,135,YACHT,Lady Love Me,George Benson,,79,86,79,81,81.25
YON43,135,YACHT,Your Imagination,Maxus,,75,80,85,81,80.25
YON43,135,YACHT,What A Fool Believes,Aretha Franklin,,59,73,56,63,62.75
YON43,135,YACHT,Its a Fact,Jeff Lorber,,59,62,64,52,59.25
YON43,135,YACHT,Why You Givin Up,Patrick Simmons,,46,59,58,48,52.75
YON43,135,NYACHT,Street Life,Crusaders,,46,48,52,43,47.25
YON43,135,NYACHT,Sweet Feelin',Doobie Brothers,,41,49,38,47,43.75
YON43,135,NYACHT,The White Whale,Los Colognes,,5,8,23,12,12
YON44,136,YACHT,Is It You,Lee Ritenour,,78,84,74,75,77.75
YON44,136,YACHT,Simone,Boz Scaggs,,73,74,85,69,75.25
YON44,136,YACHT,Room 335,Larry Carlton,,80,67,59,72,69.5
YON44,136,YACHT,Queen Of My Heart,DeBarge,,72,71,70,57,67.5
YON44,136,YACHT,The Way I Feel,Adrian Gurvitz,,72,57,53,65,61.75
YON44,136,YACHT,Echoes of Loves,The Doobies Brothers,,54,61,61,66,60.5
YON44,136,YACHT,Send A Little Love My Way,Stephen Bishop,,62,53,56,58,57.25
YON44,136,YACHT,Saving Up All My Love,DeBarge,,64,49,62,53,57
YON44,136,YACHT,You're My Love,Kenny Rogers,,60,59,52,56,56.75
YON44,136,NYACHT,Take The Short Way Home,Dionne Warwick,,50,46,42,43,45.25
YON44,136,NYACHT,Walks Like A Lady,Journey,,13,10,18,15,14
YON45,137,YACHT,Who'll Be the Fool Tonight,Larsen Feiten Band,1980,90,91,93,90,91
YON45,137,YACHT,Whatcha Gonna Do,Pablo Cruise,,75,71,67,63,69
YON45,137,YACHT,Steal The Night,Stevie Woods,,72,63,62,66,65.75
YON45,137,YACHT,If You Don't Want Me,Ronnie Milsap,,55,59,58,55,56.75
YON45,137,YACHT,Room To Grow,Brian Elliot,,61,57,53,48,54.75
YON45,137,YACHT,Any Good Time At All,Imperials,,45,56,63,49,53.25
YON45,137,NYACHT,Fool On A Hill,Sarah Vaughn,,51,49,46,47,48.25
YON45,137,NYACHT,Nightshift,Commodores,,38,42,32,42,38.5
YON45,137,NYACHT,I Can Feel You Cryin,Gary Wright,,25,33,29,32,29.75
YON45,137,NYACHT,That's All,Genesis,,18,36,23,20,24.25
YON46,138,YACHT,Hot Rod Hearts,Robbie Dupree,,81,85,86,82,83.5
YON46,138,YACHT,Take It Uptown,Bill Champlin,,65,54,71,58,62
YON46,138,YACHT,Sneaker,Don't Let me In,,54,53,58,58,55.75
YON46,138,YACHT,St. George and the Dragon,Toto,,62,52,45,54,53.25
YON46,138,YACHT,Him,Rupert Holmes,1979,49,48,60,45,50.5
YON46,138,NYACHT,Slow Hand,Pointer Sisters,,51,52,49,44,49
YON46,138,NYACHT,Right before Your Eyes,America,,40,50,49,34,43.25
YON46,138,NYACHT,The Border,America,,40,43,38,32,38.25
YON46,138,NYACHT,Help Me,Joni Mitchell,1974,24,29,28,26,26.75
YON46,138,NYACHT,The Name of the Game,Abba,,15,23,22,18,19.5
YON48,140,YACHT,The Girl is Mine,Michael Jackson w/ Paul McCartney,1982,88,74,63,78,75.75
YON48,140,YACHT,Silly Crush,Masaki Matsubara,1983,62,72,81,75,72.5
YON48,140,YACHT,Alcohol,McGruff the Crime Dog,1986,55,91,40,58,61
YON48,140,NYACHT,Long Ago,The Four Seasons,1977,41,39,52,42,43.5
YON48,140,NYACHT,Southern Nights,Glen Campbell,1977,35,38,27,30,32.5
YON49,141,YACHT,Never Gonna Give You Up,Kere Buchanan,2014,59,54,58,62,58.25
YON49,141,YACHT,I Get It From You,Herb Alpert,1981,59,60,48,53,55
YON49,141,YACHT,Angela,Bob James,1978,55,51,51,52,52.25
YON49,141,NYACHT,Remind Me,Patrice Rushen,1982,42,47,44,45,44.5
YON49,141,NYACHT,Nao Pode Ser Qualquer Mulher,Marcos Valle,1981,43,46,39,38,41.5
YON49,141,NYACHT,Fool That I Am,Libby Titus,1977,39,31,37,33,35
YON50,142,YACHT,Wrong Side of the Tracks,David Roberts,1982,78,79,84,77,79.5
YON50,142,YACHT,(I Could Never Say) It's Over,B. B. & Q. Band,1982,85,79,73,67,76
YON50,142,YACHT,Too Good To Last,David Roberts,1982,59,61,74,65,64.75
YON50,142,YACHT,Old Jack Magnet,Jakob Magnusson,1981,55,50,58,52,53.75
YON50,142,NYACHT,Mr. Lucky,Fools Gold,1977,39,33,38,35,36.25
YON50,142,NYACHT,You Make Lovin Fun,Fleetwood Mac,1977,35,40,37,25,34.25
YON51,143,YACHT,Take Me To Your Heaven,Wilson Bros.,1979,60,82,66,71,69.75
YON51,143,YACHT,How Can You Love Me,Ambrosia,1982,65,62,72,67,66.5
YON51,143,YACHT,Living In A Dream,Sea Level,1978,69,68,63,59,64.75
YON51,143,YACHT,Heart to Heart,Pointer Sisters,1982,56,58,61,62,59.25
YON51,143,NYACHT,Steal Away Your Love,Roland Bautista,1979,49,50,41,45,46.25
YON51,143,NYACHT,Hill Street Blues Theme,Mike Post w/ Larry Carlton,1981,42,47,43,49,45.25
YON52,144,YACHT,Deacon Blues,Steely Dan,1977,91,90,94,89,91
YON52,144,YACHT,Open Your Eyes,Doobie Brothers,1978,80,76,73,75,76
YON52,144,NYACHT,Star,"Earth, Wind & Fire",1979,42,43,57,39,45.25
YON52,144,NYACHT,This Place Hotel,The Jacksons,1980,49,50,40,42,45.25
YON52,144,NYACHT,Since I Met You,"Crosby, Stills, and Nash",1982,45,35,33,32,36.25
YON52,144,NYACHT,Time Passages,Al Stewart,1978,32,41,32,38,35.75
YON53,145,YACHT,I Don't Want You Anymore,Bill Champlin,1978,88,89,88,90,88.75
YON53,145,YACHT,Hasty Heart,Neilsen/Pearson,1983,83,86,87,90,86.5
YON53,145,YACHT,"Let Me Go, Love",Nicolette Larson,1979,83,87,81,79,82.5
YON53,145,NYACHT,Sad Eyes,Brooklyn Dreams,1977,42,56,42,42,45.5
YON53,145,NYACHT,Hurts So Bad,Linda Ronstadt,1980,45,46,38,42,42.75
YON53,145,NYACHT,Baby,Donnie and Joe Emerson,1979,10,28,29,32,24.75
YON54,146,NYACHT,Pure Smokey,George Harrison,1976,50,50,48,50,49.5
YON54,146,NYACHT,Really Wanna Know You,Gary Wright,1981,39,43,31,38,37.75
YON54,146,NYACHT,Into The Night,Benny Mardones,1980,30,35,33,41,34.75
YON54,146,NYACHT,Mr. Smooth,Michael Franks,1999,30,34,36,28,32
YON54,146,NYACHT,Lonely Boy,Andrew Gold,1976,20,35,35,28,29.5
YON54,146,NYACHT,Santa Ana Winds,Steve Goodman,1985,1,9,14,15,9.75
YON55,147,YACHT,FM,Steely Dan,1978,98,93,94,90,93.75
YON55,147,YACHT,Blame It On The One,Kelly Willard,1978,83,85,77,80,81.25
YON55,147,YACHT,Chuck E's In Love,Rickie Lee Jones,1979,53,55,49,55,53
YON55,147,NYACHT,Don't Look Down,Go West,1985,35,41,43,45,41
YON55,147,NYACHT,Wing & A Prayer,Camel,1978,29,29,37,35,32.5
